Initiative_Name,Initiative_Short_Name,Goal_USP_Benefit,Host_Organization_Type,Solution_Type,Sector,Potential_Cross_Sector,Focus_Final_Product_Supply_Chain,Market_Scope,Current_Market_Penetration,Technology_Readiness,Business_Model,Target_Group,Product_Traceability,Functional_Technical_Specifications,Product_Material_Composition,Product_Design_Service,Product_Usage_Data,Product_Repair_Data,Recycling_Data,Circularity_Info_Label,Product_ID_Type,Product_ID_Granularity,Identifier_Type,Machine_Readable_Data_Carrier,Resolver,ID_Minting,Data_Storage_Location,Data_Transport_Openness_Level,Data_Packaging,Level,If_Advanced,Data_Use_Management,Evidence,Convenience,Data_Protection,Traceability,Sector_count,Solution_Type_count,Host_Organization_Type_count,Technology_Readiness_count,Target_Group_count,Product_Traceability_count,Product_Material_Composition_count,Product_Design_Service_count,Product_Usage_Data_count,Product_Repair_Data_count,Recycling_Data_count,Circularity_Info_Label_count,Product_ID_Type_count,Product_ID_Granularity_count,Identifier_Type_count,Traceability_count
From Pixel to Parcel: Pioneering Sustainable Textile Production in the Digital Age,From Pixel to Parcel,"deploy digital printing technology and ondemand ordering of materials, integrated with realtime digital twin and ai, to embed sustainability into the textile production process develop a circular economy model within the fashion industry, transforming waste into valuable resources utilize digital twin technology to optimize production processes, enhancing efficiency and adaptability to market changes implement aidriven solutions for predictive analysis and resource management, aligning with the goal of increasing resource efficiency",['private company (industry)'],"['traceability solution', 'standard']",['textile'],yes,Both,International,Low,['application'],Pay per use,"['consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'waste treatment and sorter', 'technical experts / developers (front-end, back-end)', 'circular economy and interdisciplinary experts', 'technology / platform providers']","['date', 'locations', 'transport means (e.g. vessel, track)']",Minimum functional specifications for compliance (e.g. energy consumption),"['material information for eu compliance (e.g. reach, rohs)', 'full material declaration']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']","['usage data (e.g. purchase date, use cycles, please specify below in field ""others"")']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'compliance related information (e.g. rohs/reach/weee compliant)']","[""we haven't developed the dpp fully yet"", 'we miss the it']",['single item'],['qr code'],yes,yes,Decentralized,Centralized,standardized,Data transfer,simple,Unknown,labelling,Unknown,we are building an app,building this as well and we need help,['not finalized yet as well'],1,2,1,1,11,3,2,2,1,2,2,4,2,1,1,1
Gain Momentum,Momentum,automated supply chain mapping and esg data collection for brands to be compliant with the upcoming eu dpp,['private company (industry)'],"['platform', 'traceability solution']",['textile'],yes,Both,EU,Low,['application'],Membership fee (per size and free use),"['market surveillance authorities', 'consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'government institutions', 'circular economy and interdisciplinary experts', 'technology / platform providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), Possible / flexible data model, Materials and processes.","['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance', 'material information after own/individual list', 'possible / flexible data model']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'possible / flexible data model']","['possible / flexible data model', ""it's possible for any actor to add data to an item such as repairing services and washing services.""]","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)', 'possible / flexible data model']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)', 'possible / flexible data model']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']","['instance', 'category', 'we can handle it at an item/instance level', 'batch and product category level']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code']",yes,yes,Decentralized,Centralized,standardized,API,advanced,attribute based,role based,"We are verifying the existence of suppliers / entities through company registry look ups. We are comparing inputs to industry benchmarks, and finally we ask suppliers to upload documentation.",We are planning to provide an app with an integrated wallet for consumers to track all their good in one place.,"PETs, anonymization, We use Hashing and Encryption. Anonymisation only when needed.","['tagging (qr)', 'tagging (nfc/rfid)']",1,2,1,1,16,4,4,3,2,3,3,10,4,4,2,2
GEC/EPEAT Type 1 Ecolabel,EPEAT Ecolabel,"allows purchasers of ict products to identify products that meet or exceed sustainability performance metrics, covering multiple attributes including supply chain ghg emissions, product circularity and chemical content, and labor rights in the supply chain",['ngo'],['platform'],['electronics'],yes,Both,International,High,['application'],Pay per use,"['product developer and designer', 'government institutions', 'product identity providers', 'electronics brands; purchasers of electronics']",['date'],Minimum functional specifications for compliance (e.g. energy consumption),"['material information for eu compliance (e.g. reach, rohs)']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']",['unknown'],['unknown'],['unknown'],"['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['category'],['model'],['unknown'],unknown,yes,Centralized,Centralized,standardized,API,Unknown,Unknown,labelling,Unknown,Unknown,Unknown,['unknown'],1,1,1,1,4,1,1,2,1,1,1,8,1,1,1,1
Gemini Tag and DPP Carrier Solutions ,DPP Carrier Solution ,"printed or woven textile dpp carrier labelling as a labelling supplier, we can integrate and automate data with platforms that store the dpp information we produce a range of different carrier options",['public organization (policy)'],['others'],['textile'],yes,Both,International,High,['application'],Pay per use,"['consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'consumer protection associations', 'government institutions', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']",Minimum functional specifications for compliance (e.g. energy consumption),"['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance', 'full material declaration']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']","['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date, use cycles, please specify below in field ""others"")']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['instance'],"['model', 'batch', 'production order', 'single item']","['rfid', 'qr code', 'digital watermark', 'bluetooth label']",yes,yes,Decentralized,Decentralized,standardized,Data transfer,simple,attribute based,enforcement,verifiable credentials,DPP carrier is a link to where the data is stored ,Unknown,"['tagging (qr)', 'tagging (nfc/rfid)']",1,1,1,1,18,4,3,2,2,2,2,9,1,4,4,2
General Intelligence Private Limited,GI,"one stop solution for traceability, sustainability and carbon foot print management for appareltextile industry",['private company (industry)'],['traceability solution'],['textile'],yes,Both,International,Medium,['application'],Membership fee (per size and free use),['company identity providers'],"['date', 'locations', 'operators']",Not relevant / not possible,['not relevant / not possible'],['not relevant / not possible'],['not relevant / not possible'],['not relevant / not possible'],['not relevant / not possible'],['not relevant / not possible'],['digital solution'],['batch'],"['rfid', 'qr code']",no,no,Decentralized,Decentralized,Unknown,API,advanced,attribute based,role based,blockchain,Unknown,Unknown,"['tagging (qr)', 'tagging (nfc/rfid)']",1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2
GEOOWN AB (Short for Green and Easy Ownership),GEOOWN,it is useful as it adresses the value drivers of all participants along the supplychain and has values for them to use the platform,['private company (industry)'],['platform'],['cross-sector'],yes,Both,International,Low,['prototype'],Membership fee (per size and free use),"['market surveillance authorities', 'consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'government institutions', 'circular economy and interdisciplinary experts']","['date', 'locations']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), Possible / flexible data model, Specifications, Build and debuild  documents, RoHS details, Recycling center details etc","['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance', 'full material declaration', 'possible / flexible data model']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'possible / flexible data model']","['user identification and method (please specify below in field ""others"")', 'possible / flexible data model', 'unique id generated from the user type', 'and the manufacturer and category and model of the product']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)', 'possible / flexible data model']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)', 'possible / flexible data model']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']","['instance', 'category', 'each product in a category has a unique id similar to a serial number to be individually identified as a product owned by an owner']","['model', 'single item']","['rfid', 'qr code']",yes,yes,Centralized,Centralized,Through the process of Virtual Ownership of Data,Data transfer,advanced,role based,role based,"Through of placing a physical product on the market, used only through a physical product",Using the individual identity of the product to join attributes based on its model and make.,"PETs, anonymization","['tagging (qr)', 'numbering system']",1,1,1,1,15,2,4,3,4,3,3,10,3,2,2,2
Global Battery Alliance,GBA,convening a precompetitive multistakeholder platform to establish a responsible and sustainable battery circular economy,['public-private consortium'],"['platform', 'product data scheme', 'others']","['cross-sector', 'battery']",yes,Both,International,High,['concept'],Membership fee (per size and free use),"['market surveillance authorities', 'consumer/public', 'product developer and designer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'government institutions', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers', 'company identity providers', 'product identity providers', 'trusted intermediaries']",['unknown'],"Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), Comprehensive reporting of ESG performance of Battery Manufacturing and enabling end of life recycling.","['possible / flexible data model', 'data sets may differ regionally. gba provides guidance on acquiring comprehensive esg data which are designed to impact the state of affairs positively.']","['possible / flexible data model', 'defined in collaboration with project ""battery pass""']","['defined in collaboration with project ""battery pass""']","['defined in collaboration with project ""battery pass""']","['possible / flexible data model', 'recycling takes place 15-20 years after issuing a battery passport. the respective processing information is hardly relevant for eol battery except the tracing into an adequate recycling operation. we propose a cut-off approach to reporting once the initial battery is disassembled for recycling. defined in collaboration with project ""battery pass""']","['label (cross-sectional or multi-criteria)', 'possible / flexible data model', 'info on circularity shall be obtained and a ""quality seal"" shall inform users in an easy digestable way.']","['instance', 'the below technical details are not in the focus at gba. some foundational principles heve been agreed to. e.g. interoperability', 'decentralized storage', 'content definition', '.  a huge portion of gba work concerns the manufacturing upstream where no battery passport exists', 'yet.']",['single item'],['unknown'],yes,unknown,Unknown,Decentralized,"not determined, yet",Unknown,Unknown,Unknown,Unknown,GBA is technology agnostic - see associated projects to GBA pilot,Unknown,Unknown,['tbd'],2,3,1,1,18,1,2,2,1,1,2,3,6,1,1,1
Global Textile Scheme,GTS,unique end2end data exchange standard for textile value chains with mapping function current data worlds can remain the same,['private company (industry)'],['platform'],['textile'],yes,Supply chain exchange,International,Low,['application'],Pay per use,['product manufacturer'],['unknown'],Yes,"['yes', 'sku level']","['yes', 'sku level']",['not applicable'],['unknown'],['unknown'],"['yes', 'any']",['unknown'],['unknown'],['unknown'],yes,no,Centralized,Centralized,The sender can allow the pulling on data for public articles and private articles (e.g. branded trimmings),Unknown,Unknown,Unknown,Unknown,No blockchain. The data provider is responsible for the quality of the data,No Apps or wallets - only access to a web portal provided,Authentification server using a proriatary key,['no tracing of the good. gts is master data oriented - not towards transaction data'],1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1
GoodsTag GmbH Smart Products Platform,GoodsTag ,managing ids of any kind at any stage in the product life cycle to deliver contextualized experiences to various users b2c and b2b like digital product passports to specific target group in specific environements,['private company (industry)'],"['platform', 'product data scheme', 'traceability solution']",['cross-sector'],yes,Both,International,Low,['application'],Pay per use,"['distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'technical experts / developers (front-end, back-end)', 'circular economy and interdisciplinary experts', 'company identity providers', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']",Possible / flexible data model,"['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration', 'possible / flexible data model']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'possible / flexible data model']",['possible / flexible data model'],"['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)', 'possible / flexible data model']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)', 'possible / flexible data model']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']","['instance', 'any id level can be an own digital product passport']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code', 'digital watermark', 'bluetooth label']",yes,yes,Centralized,Centralized,"via IoT Devices, API or scanning of public code via Mobile Phone",API,advanced,role based,enforcement,"depending on use case, validation of data fields are possible",Unknown,GDPR conform,"['tagging (qr)', 'tagging (nfc/rfid)']",1,3,1,1,8,4,5,3,1,3,3,10,2,4,4,2
ID-E,ID-E,dpp management platform,['private company (industry)'],['platform'],['cross-sector'],yes,Final Product,EU,Low,"['concept', 'prototype']",Pay per use,"['consumer/public', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']",Possible / flexible data model,['possible / flexible data model'],"['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']",['not relevant / not possible'],['possible / flexible data model'],['not relevant / not possible'],['possible / flexible data model'],['instance'],"['model', 'single item']","['rfid', 'qr code']",yes,yes,Centralized,Centralized,standardized,API,simple,role based,labelling,Unknown,Unknown,Unknown,"['tagging (qr)', 'tagging (nfc/rfid)']",1,1,1,2,2,4,1,2,1,1,1,1,1,2,2,2
Infinite X,Infinite X,"cheapest service covering dpp, reverse logistics and partnerships",['private company (industry)'],"['platform', 'product data scheme', 'traceability solution']",['textile'],yes,Final Product,National,Low,['application'],Pay per use,"['distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer']",['locations'],Possible / flexible data model,['possible / flexible data model'],['possible / flexible data model'],"['user identification and method (please specify below in field ""others"")']",['possible / flexible data model'],"['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)']",['possible / flexible data model'],['instance'],['single item'],['qr code'],unknown,no,Centralized,Centralized,standardized,Data transfer,simple,Unknown,labelling,verifiable credentials,Unknown,Unknown,"['tagging (qr)', 'tagging (nfc/rfid)']",1,3,1,1,9,1,1,1,1,1,2,1,1,1,1,2
Information for Recyclers platform,I4R platform,the i4r platform provides treatment and recycling facilities and preparation for reuse operators with access to weee recycling information in line with the requirements of directive 201219eu,['private company (industry)'],['platform'],"['electronics', 'battery']",unknown,Both,EU,Low,['application'],Free,"['remanufacturer', 'reuse', 'repair', 'sorter', 'recycler', 'recycling distributor and retailer']",['unknown'],materials and components that need separate treatment according to the requirements set out in Annex VII to the WEEE Directive,"['material information for other compliance (please specify below in field ""others"")', 'article 15 of directive 2012/19/eu on weee']","['service related information (e.g. warrenty and recycling information, repair and update options)']",['unknown'],['unknown'],['presence and location of materials and components in weee that need separate treatment'],['compliance related information (e.g. rohs/reach/weee compliant)'],['category'],['unknown'],['unknown'],no,unknown,Centralized,Centralized,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['unknown'],2,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1
Innovative RFID antenna solution for shelf and hanger,RFID shelf/hanger antenna,"automatic, realtime, accurate inventory count for retail shelf and hanger",['private company (industry)'],['traceability solution'],"['cross-sector', 'textile', 'electronics', 'battery', 'automotive', 'construction', 'food', 'others']",yes,Both,International,Low,"['prototype', 'application']",Pay per use,"['product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'government institutions', 'circular economy and interdisciplinary experts', 'technology / platform providers', 'trusted intermediaries']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']",AC battery,"['material information for eu compliance (e.g. reach, rohs)']",['not relevant / not possible'],"['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date, use cycles, please specify below in field ""others"")']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)']",['not relevant / not possible'],['instance'],['unknown'],['rfid'],yes,yes,Centralized,Centralized,standardized,Data transfer,simple,Unknown,Unknown,Unknown,Data ports,Unknown,['tagging (nfc/rfid)'],8,1,1,2,10,4,1,1,2,2,2,1,1,1,1,1
Internet of Materials,IoM,unknown,"['public organization (policy)', 'research']","['platform', 'product data scheme', 'traceability solution', 'standard']",['cross-sector'],yes,Both,International,Low,['concept'],Free,"['internet of materials represent a general approach to integrate international standards for sector independent circular traceability and data sharing about material items', 'from cradle to circular life cycles.']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), Not relevant / not possible, Possible / flexible data model, All data potentially useful downstream to realize circularity ","['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration', 'possible / flexible data model']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)', 'possible / flexible data model']","['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date, use cycles, please specify below in field ""others"")', 'possible / flexible data model']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)', 'possible / flexible data model']","['recycler company identification (e.g. id, address, etc.)', 'recycling related information (e.g. date of recycling, etc.)', 'possible / flexible data model']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']","['instance', 'category']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code', 'digital watermark']",yes,yes,Centralized,Decentralized,standardized,Data transfer,advanced,attribute based,role based,verifiable credentials,Unknown,Unknown,['tagging (qr)'],1,4,2,1,2,4,5,3,3,3,3,10,2,4,3,1
Interoperable Modular Data Exchange Framework,IMDE,"public domain, modular, interoperable framework that will make autonomous machinetomachine m2m communication and process integration easier then today",['public organization (policy)'],['others'],['cross-sector'],yes,Both,International,Low,"['prototype', 'application']",Free,"['product developer and designer', 'distributor and retailer', 'technology / platform providers', 'product identity providers', 'manufacturers of finished goods', 'production & raw materials']","['locations', 'transport means (e.g. vessel, track)', 'operators']","Possible / flexible data model, Concept is based on data topics, each data topic can be industry or catagory specific, or generic. ","['full material decleration', 'possible / flexible data model']",['possible / flexible data model'],['not relevant / not possible'],"['repair company identification (e.g. id, address, etc.)']",['possible / flexible data model'],"['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model', 'datatopic: certifications & marks']",['unknown'],['unknown'],['unknown'],unknown,no,Decentralized,Decentralized,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['unknown'],1,1,1,2,6,3,2,1,1,1,1,11,1,1,1,1
IOTA - EBSI PCP ,EBSI PCP - IOTA,"dpps built using w3c, gs1 standards and the ebsi as a trust anchor",['public-private consortium'],"['traceability solution', 'certifications', 'multiple stakeholders']","['electronics', 'battery']",yes,Both,International,Low,['prototype'],Pay per use,"['consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'waste treatment and sorter', 'recycler', 'certification bodies', 'government institutions', 'technical experts / developers (front-end, back-end)', 'production identification', 'technology / platform providers', 'company identity providers', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']","Other functional specifications (please specify below in field ""others""), Testing performed, estimated lifetime, etc.","['material information for eu compliance (e.g. reach, rohs)', 'full material decleration']","['service related information (e.g. warrenty and recycling information, repair and update options)']","['usage data (e.g. purchase date, use cycles, please specify below in field ""others"")']","['repair company identification (e.g. id, address, etc.)', 'repair related infornation (e.g. date of repair, exchanged part, etc.)']","['recycling related infornation (e.g. date of recycling, etc.)']","['certifications', 'norms', 'standards (e.g. iso xy)']",['instance'],['unknown'],['qr code'],yes,yes,Decentralized,Decentralized,standardized,API,advanced,role based,role based,blockchain,Wallet,"No data stored on the Blockchain, only proofs",['tagging (qr)'],2,3,1,1,14,4,2,1,1,2,1,3,1,1,1,1
ITU-T Q7/SG5 L.GDSPP: Requirements for a global digital sustainable product passport to achieve a circular economy,ITU-T Q7/SG5 GDSPP - ETSI DTS/EE-EEPS55,global standardisation of sustainabilityenvironmental aspects of dpp for ict products,['public organization (policy)'],['standard'],['electronics'],yes,Both,International,High,['concept'],Free,"['market surveillance authorities', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'certification bodies', 'government institutions', 'technical experts / developers (front-end, back-end)', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers']","['date', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), sustainability -> environmental","['material information for eu compliance (e.g. reach, rohs)', 'material information for other compliance (please specify below in field ""others"")', 'basel convention']","['design related information (manuals, disassambly map, maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information, repair and update options)']",['unknown'],"['repair related infornation (e.g. date of repair, exchanged part, etc.)']","['recycling related infornation (e.g. date of recycling, etc.)']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']","['instance', 'category']","['model', 'batch', 'single item']",['unknown'],yes,unknown,Decentralized,Decentralized,standardized,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['unknown'],1,1,1,1,16,2,3,2,1,1,1,7,2,3,1,1
Jasper Seghers,Jasper Seghers,ckp offers a rfid uhf nfc combi tag for tagging apparel,['private company (industry)'],['traceability solution'],"['textile', 'food']",yes,Both,International,Medium,['application'],Pay per use,"['consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair']",['unknown'],Unknown,['unknown'],['unknown'],['unknown'],['unknown'],['unknown'],['unknown'],['unknown'],['unknown'],['unknown'],unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['tagging (nfc/rfid)'],2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1
KEEP,KEEP,a prototype showing an example of a unified interfaces collecting information from many sources,['research'],['platform'],['electronics'],yes,Final Product,International,Unknown,['concept'],Unknown,"['consumer/public', 'product developer and designer', 'remanufacturer', 'reuse', 'repair', 'waste treatment and sorter', 'recycler', 'certification bodies']",['unknown'],Minimum functional specifications for compliance (e.g. energy consumption),"['material information for eu compliance (e.g. reach, rohs)']","['service related information (e.g. warrenty and recycling information, repair and update options)']",['not relevant / not possible'],"['repair related infornation (e.g. date of repair, exchanged part, etc.)']",['not relevant / not possible'],"['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'compliance related information (e.g. rohs/reach/weee compliant)']",['category'],['model'],['qr code'],unknown,unknown,Unknown,Centralized,proprietary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['unknown'],1,1,1,1,8,1,1,1,1,1,1,3,1,1,1,1
Kezzler ,Kezzler,creating business value based on digital ids for products while getting ready for eu dpp,['private company (industry)'],"['platform', 'traceability solution']",['cross-sector'],yes,Final Product,International,High,['application'],Pay per use,"['market surveillance authorities', 'consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'collection', 'certification bodies', 'production identification', 'circular economy and interdisciplinary experts', 'company identity providers', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel, track)', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Possible / flexible data model",['possible / flexible data model'],['possible / flexible data model'],"['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date, use cycles, please specify below in field ""others"")']","['repair company identification (e.g. id, address, etc.)', 'repair related information (e.g. date of repair, exchanged part, etc.)']",['possible / flexible data model'],['possible / flexible data model'],"['instance', 'category', 'can be both', 'also batch/lot', 'but mainly instance']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code']",yes,yes,Centralized,Centralized,Can also be standardized,Data transfer,advanced,role based,role based,Timestamped and change log,Apps for user and integrations toward other business critical internal IT systems for brands.,anonymization,"['tagging (qr)', 'tagging (nfc/rfid)']",1,2,1,1,12,4,1,1,2,2,1,1,5,4,2,2
